 ,Label,Area,Mean,StdDev,XM,YM,Major,Minor,Angle,Circ.,Median,Skew,Kurt,AR,Round,Solidity
49,blobs.gif,69,185.739,35.110,253.905,200.961,16.139,5.443,88.089,0.571,192,-0.207,-1.256,2.965,0.337,0.885
50,blobs.gif,170,181.224,28.776,206.414,203.488,17.145,12.625,73.152,0.939,192,-0.355,-0.824,1.358,0.736,0.932
51,blobs.gif,472,167.169,25.866,26.319,215.160,35.028,17.157,106.940,0.745,160,0.773,-0.030,2.042,0.490,0.922
52,blobs.gif,613,219.915,37.720,103.332,214.269,32.504,24.012,130.242,0.868,240,-1.137,-0.101,1.354,0.739,0.942
53,blobs.gif,543,189.068,24.894,62.664,217.835,30.212,22.884,104.040,0.908,200,-1.091,0.058,1.320,0.757,0.953
54,blobs.gif,204,199.608,32.805,4.203,226.468,24.020,10.813,92.097,0.649,216,-0.784,-0.688,2.221,0.450,0.938
55,blobs.gif,555,217.139,36.977,234.522,227.816,27.539,25.660,168.940,0.916,232,-0.998,-0.320,1.073,0.932,0.954
56,blobs.gif,858,197.277,30.121,180.452,230.218,41.339,26.426,173.175,0.833,200,-0.622,-0.419,1.564,0.639,0.949
57,blobs.gif,281,189.779,30.815,138.466,233.655,21.747,16.452,90.261,0.896,200,-0.529,-0.873,1.322,0.756,0.927
58,blobs.gif,215,184.037,28.631,46.542,240.989,18.916,14.472,76.376,0.909,192,-0.500,-0.901,1.307,0.765,0.929
59,blobs.gif,3,130.667,4.619,76.827,242.827,2.365,1.615,45.000,1.000,128,0.707,-1.500,1.464,0.683,0.857
60,blobs.gif,1,128.000,0.000,110.500,246.500,1.128,1.128,0.000,1.000,128,NaN,NaN,1.000,1.000,1.000
61,blobs.gif,81,183.407,34.682,178.979,251.763,17.830,5.784,0.298,0.567,176,0.172,-0.946,3.082,0.324,0.910
62,blobs.gif,90,181.511,25.599,128.042,251.921,21.662,5.290,1.358,0.461,184,-0.473,-0.885,4.095,0.244,0.933
63,blobs.gif,53,188.377,38.799,234.803,252.188,13.891,4.858,179.722,0.527,184,-0.042,-1.252,2.859,0.350,0.891
64,blobs.gif,49,172.898,28.743,74.168,252.523,16.336,3.819,178.711,0.456,176,0.037,-1.113,4.277,0.234,0.883
